City,latitude,longitude
Brussels,50.8465573,4.351697
Paris,48.8534951,2.3483915
Madrid,40.4167047,-3.7035825
Frankfurt,50.1106444,8.6820917
Poznań,52.4006632,16.91973259178088
Copenhagen,55.6867243,12.5700724
Kraków,50.0469432,19.997153435836697
Berlin,52.510885,13.3989367
Vienna,48.2083537,16.3725042
Rome,41.8933203,12.4829321
Amsterdam,52.3730796,4.8924534
Lisbon,38.7077507,-9.1365919
Stockholm,59.3251172,18.0710935
Oslo,59.9133301,10.7389701
Helsinki,60.1674881,24.9427473
Dublin,53.3493795,-6.2605593
Warsaw,52.2319581,21.0067249
Budapest,47.48138955,19.14609412691246
Prague,50.0874654,14.4212535
